spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,25,1,2,BE,8/14/24,90,FALSE,161831,Fireworks & Rollerblades,4/5/24,0.432,0.583,8,-4.682,1,0.0687,0.174,0,0.0933,0.544,181.489,4
3q8VDAS1z0x5VavigoDXHl,On Met La Patate (Belgian Anthem),"Omdat Het Kan, Average Rob",26,1,-2,BE,8/14/24,61,FALSE,192774,On Met La Patate (Belgian Anthem),5/28/24,0.632,0.948,10,-4.171,0,0.0923,0.00538,5.05E-05,0.194,0.302,155.057,4
4HDC7Mo6uLTujRvHymiXDf,Mwaki,"Zerb, Sofiya Nzau",27,-4,23,BE,8/14/24,74,FALSE,208135,Mwaki,11/10/23,0.847,0.637,7,-8.751,0,0.0587,0.201,0.201,0.121,0.0509,120.033,4
6ifKXZTqAuLA35TGCVuGBU,Ik Wil Dat Je Liegt,"Hannah Mae, MAKSIM",28,3,3,BE,8/14/24,68,FALSE,174953,Ik Wil Dat Je Liegt,5/23/24,0.688,0.513,2,-5.97,0,0.0342,0.536,0,0.134,0.168,106.984,4
48lxT5qJF0yYyf2z4wB4xW,Pedro,"Jaxomy, Agatino Romero, Raffaella Carrà",29,-1,-7,BE,8/14/24,87,FALSE,144846,Pedro,3/29/24,0.788,0.936,9,-6.294,1,0.301,0.0229,1.30E-06,0.311,0.844,151.019,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,30,0,9,BE,8/14/24,96,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/24,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
02nm2yGw7BygWmRcbFhAlC,Gaan We Weg?,"Roxy Dekker, Ronnie Flex",31,-2,-3,BE,8/14/24,76,FALSE,141775,Gaan We Weg?,7/12/24,0.483,0.776,0,-4.584,0,0.0665,0.15,0,0.0709,0.519,128.036,4
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,32,18,18,BE,8/14/24,88,TRUE,244360,Long Way Down (Deluxe),6/24/13,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
2PYMw8P6kuCHqhltz47XMr,Bah Ouais - Nouvelle École,Dadi,33,0,-4,BE,8/14/24,76,FALSE,201951,Nouvelle École | Saison 3 | La Finale (Série Netflix),7/22/24,0.836,0.591,6,-7.162,1,0.0809,0.389,0,0.161,0.461,128.034,4
1CDQzbCz4KSQxHe7LMEgRM,Houdini,Eminem,34,0,-4,BE,8/14/24,84,TRUE,227032,The Death of Slim Shady (Coup De Grâce),7/12/24,0.936,0.878,9,-2.798,0,0.0723,0.0283,2.31E-06,0.0689,0.902,126.992,4
