spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0eCynyX42rcSzLQIg2sHAy,Уау,"Medi, Sabi",14,3,-4,BG,2/28/25,47,FALSE,185915,Уау,11/24/24,0.721,0.885,8,-5.035,1,0.0447,0.00754,0,0.232,0.712,141.98,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",15,5,0,BG,2/28/25,96,FALSE,251667,Die With A Smile,8/16/24,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
7DY756WOLyOz2Xnhw4EFiC,São Paulo (feat. Anitta),"The Weeknd, Anitta",16,0,-2,BG,2/28/25,81,TRUE,301623,Hurry Up Tomorrow,1/31/25,0.538,0.658,5,-7.273,0,0.076,0.0385,0.000146,0.573,0.553,127.322,4
4il87YHqSV9UqbBkXM7z7m,Sports car,Tate McRae,17,1,33,BG,2/28/25,75,FALSE,165045,So Close To What,2/21/25,0.861,0.815,11,-3.672,0,0.0342,0.0527,0.00127,0.1,0.897,106.986,4
1IURxiLGO4x5vVz0rX4AuP,Дум Так,Medi,18,4,-5,BG,2/28/25,46,FALSE,194285,Дум Так,8/15/24,0.625,0.896,7,-5.153,1,0.0485,0.212,1.67E-06,0.0427,0.866,167.975,4
2TKc0nGOVXS2ECxQGAMsZd,Биткойн кючек,"DJ Damyan, Monkey",19,-4,-3,BG,2/28/25,41,FALSE,198139,Биткойн кючек,2/9/25,0.697,0.957,1,-2.919,1,0.226,0.0248,0,0.0658,0.871,171.984,4
0Ksj1ehwR3eJl6L3bB9VZk,Losha,Andrea,20,-1,-8,BG,2/28/25,44,FALSE,218468,Losha,1/1/12,0.61,0.752,6,-6.829,0,0.0423,0.467,0.0819,0.904,0.617,94.985,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",21,0,-1,BG,2/28/25,87,FALSE,169917,rosie,12/6/24,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
32pFur6ytKmk43I5gtX7W4,Откачила,"Selina, Medi",22,9,13,BG,2/28/25,43,FALSE,175483,Откачила,2/29/24,0.615,0.906,5,-4.144,0,0.183,0.0926,0,0.284,0.648,186.186,4
6AI3ezQ4o3HUoP6Dhudph3,Not Like Us,Kendrick Lamar,23,1,-5,BG,2/28/25,92,TRUE,274192,Not Like Us,5/4/24,0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
45zLrK0668WQ5JFMyiYmCS,Interlude : Showtime,Jimin,24,-14,-7,BG,2/28/25,65,FALSE,78492,MUSE,7/19/24,0.786,0.836,4,-5.839,1,0.0633,0.558,0.444,0.684,0.921,92.002,4
5ZLUm9eab8y3tqQ1OhQSHI,Abracadabra,Lady Gaga,25,-2,-4,BG,2/28/25,89,FALSE,223398,Abracadabra,2/3/25,0.68,0.909,10,-3.487,0,0.0624,0.0121,0,0.222,0.633,126.004,4
42z5ag3XE4nIApxnqnRCCO,"Бом, Бом",Djordan,26,8,-1,BG,2/28/25,43,FALSE,178356,"Бом, Бом",7/24/24,0.737,0.924,5,-2.998,0,0.0674,0.0219,0,0.0822,0.869,145.979,4
3AWDeHLc88XogCaCnZQLVI,Cry For Me,The Weeknd,27,-2,-5,BG,2/28/25,86,TRUE,224136,Hurry Up Tomorrow,1/31/25,0.647,0.645,7,-6.425,0,0.0303,0.0871,0,0.671,0.422,120.098,4
0uoFYncPoFjOb7uU33yyl0,AMG Isteria,"Tedi Aleksandrova, Silver",28,1,0,BG,2/28/25,44,FALSE,240000,AMG Isteria,8/16/24,0.691,0.818,5,-5.593,0,0.124,0.0248,0,0.0853,0.673,174.116,4
1ZNaBYL73COjUVvINlKPlV,Влака,"VANE$$A, Konstantin",29,-1,3,BG,2/28/25,42,FALSE,174352,Влака,12/15/24,0.683,0.954,5,-1.381,0,0.156,0.0659,1.74E-05,0.127,0.881,169.967,4
0u52MS7dNsEFTbAuwcgSKM,Първият,"Dessita, Emrah",30,12,20,BG,2/28/25,40,FALSE,197608,Първият,6/9/22,0.579,0.907,5,-3.367,0,0.118,0.0811,0,0.0825,0.629,184.056,4
34nRREax6dS5rV7QJO3q9K,Снайпера,"Alex Robov, Tedi Aleksandrova",31,-5,-5,BG,2/28/25,43,FALSE,194666,Снайпера,12/14/24,0.593,0.927,6,-3.901,0,0.181,0.114,0,0.484,0.831,180.228,4
1zK1hzNzGlKcVKdxkp0Rcv,Dale Baby,"Galin, Dessita",32,18,18,BG,2/28/25,41,FALSE,170769,Dale Baby,4/17/24,0.729,0.959,0,-3.267,1,0.139,0.0204,6.37E-06,0.0698,0.55,156.006,4
5zQJgQMsG2Q8JOmMmiE5Nt,Здрасти,Medi,33,-3,7,BG,2/28/25,41,FALSE,213975,Здрасти,12/7/23,0.569,0.918,11,-4.404,0,0.0796,0.0972,2.76E-05,0.283,0.513,169.872,4
0336cbGmNVwmytwQh0zNeB,"Пуши, пуши","Danna, Konstantin",34,1,16,BG,2/28/25,42,FALSE,220400,"Пуши, пуши",4/26/24,0.67,0.968,6,-2.128,0,0.0865,0.3,0,0.112,0.893,74.974,4
1AmRVeI8FGlmFWhnMvfxYl,Друга любов,Medi,35,-8,-4,BG,2/28/25,41,FALSE,223561,Друга любов,1/30/25,0.592,0.787,11,-6.213,0,0.032,0.309,3.19E-05,0.0682,0.593,145.972,4
