Country,Country Code,Time,Time Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effective Exchange Rate,,,, [NEER]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Romania,ROU,2024Q4,2024Q4,66379.77098,97262.31962,..,..,35606.2,34943.63266,..,..,..,305129.5,453833.1,..,..,..,..,..,..,..,..,..,..,..,..,25022.5,25407.65719,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2024Q3,2024Q3,65857.26846,98189.91939,..,..,34491.6,34526.79676,..,..,..,302727.7,444604.3,..,..,..,..,..,..,..,..,..,..,..,..,25278.5,25319.41759,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2024Q2,2024Q2,65786.58769,95170.33236,..,..,34133.8,34672.27116,..,..,..,302402.8,439862.8,..,..,..,..,..,..,..,..,..,..,..,..,25053.2,25368.0398,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2024Q1,2024Q1,65691.65052,93415.97864,..,..,32190,32229.39412,..,..,..,301966.4,427767.4,..,..,..,..,..,..,..,..,..,..,..,..,24956.3,24279.02424,..,..,..,..,..,..,..,..,..,..,..
Romania,ROU,2025M01,2025M01,..,..,..,..,..,..,..,..,4.80773913,..,..,335.8291776,202.3341226,177.513487,177.9282093,..,4.951350107,187.5990532,187.142461,4.80773913,4.80773913,..,..,..,..,..,..,7901025956,7596912685,..,..,..,..,..,14520.30738,..
Romania,ROU,2025M02,2025M02,..,..,..,..,..,..,..,..,4.7806,..,..,343.9952484,208.6332158,178.4892513,178.7423831,..,5.017378181,189.0593805,188.7898364,4.7806,4.7806,..,..,..,..,..,..,..,..,..,..,..,..,..,15011.62197,..
Romania,ROU,2025,2025,..,..,..,..,..,..,..,..,4.734369454,..,..,341.1398531,208.7985515,178.0013691,178.3352962,..,3.336420259,188.3292168,187.9661487,4.734369454,4.734369454,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9601368265,0.975632842,..,..,..,..,..,..,..,..,..
Sweden,SWE,2025M03,2025M03,..,..,..,..,..,..,..,..,10.20546154,..,..,331.1866177,231.495499,..,..,..,..,..,..,10.20546154,10.20546154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sweden,SWE,2024Q4,2024Q4,160404.5797,152140.2684,..,..,47761.71842,46254.85866,..,..,..,1583286,1641259,..,..,..,..,..,..,..,..,..,..,50795.57005,49737.15914,49186,48219.96348,0.967772536,0.9692652526,..,..,..,..,..,..,..,..,..
Sweden,SWE,2024Q3,2024Q3,159196.2412,154532.2502,..,..,45987.58721,48533.04981,..,..,..,1571359,1610131,..,..,..,..,..,..,..,..,..,..,45985.35052,50008.0204,46009,49811.09673,1.00070773,0.9963643196,..,..,..,..,..,..,..,..,..
Sweden,SWE,2024Q2,2024Q2,158195.1854,149671.5068,..,..,48268.53488,47372.91917,..,..,..,1561478,1599110,..,..,..,..,..,..,..,..,..,..,51041.17019,50277.28851,50651,49637.83552,0.9928431004,0.9878904659,..,..,..,..,..,..,..,..,..
Sweden,SWE,2024Q1,2024Q1,157915.2626,153933.3231,..,..,47016.8673,46979.6751,..,..,..,1558715,1598162,..,..,..,..,..,..,..,..,..,..,50290.24908,48132.15984,49835,48263.97993,0.9908716781,1.00273488,..,..,..,..,..,..,..,..,..
Sweden,SWE,2025M01,2025M01,..,..,..,..,14945.4839,15669.49899,..,..,11.09365217,..,..,324.869366,209.3003144,131.7203737,131.9066958,..,0.9174974715,138.8384575,138.9539344,11.09365217,11.09365217,16997.57738,16774.64855,16320,16365.89804,0.9601368265,0.975632842,12089437989,..,3.453010191,..,..,86.54902234,..,54106.93969,9.940734626
Sweden,SWE,2025M02,2025M02,..,..,..,..,..,..,..,..,10.81165,..,..,339.4393083,224.4616479,..,..,..,1.271411339,139.0703684,139.7911872,10.81165,10.81165,..,..,..,..,..,..,..,..,..,..,..,..,..,53640.29292,8.905306083
Sweden,SWE,2025,2025,..,..,..,..,..,..,..,..,10.7035879,..,..,331.831764,221.7524871,131.7203737,131.9066958,..,1.024690937,138.9544129,139.3725608,10.7035879,10.7035879,..,..,..,..,0.9601368265,0.975632842,..,..,..,..,..,..,..,..,9.423020355
Slovak Republic,SVK,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2025M03,2025M03,..,..,..,..,..,..,..,..,27.93346154,..,..,124.1350081,93.69851526,..,..,..,..,..,..,0.9271290698,27.93346154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2024Q4,2024Q4,32264.49707,35395.59037,34402.5055,35391.96145,30057.62,28802.92435,0.8482923558,0.8368679725,..,26051.37507,33195.06627,..,..,..,..,..,..,..,..,..,..,34.10457553,33.79741537,29.975246,29.65168625,0.8774733743,0.8769408387,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2024Q3,2024Q3,31986.72566,35494.82727,34048.51805,31597.91721,27458.53,29385.67817,0.8687431375,0.8630688971,..,25827.09365,32304.45435,..,..,..,..,..,..,..,..,..,..,30.59445767,32.58234131,27.922258,29.66522659,0.9126181951,0.9104886415,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2024Q2,2024Q2,32013.0214,34761.46229,33155.47739,33216.02158,28140.723,28139.86703,0.8471824405,0.8487755857,..,25848.32566,32291.70816,..,..,..,..,..,..,..,..,..,..,32.34933232,32.46369344,29.282797,28.7821125,0.9051967335,0.8867321991,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2024Q1,2024Q1,32055.62878,34920.95281,30789.08578,31181.93181,26605.955,26062.20546,0.8532707587,0.8468908086,..,25882.72821,32150.20116,..,..,..,..,..,..,..,..,..,..,31.20959228,31.03593935,28.41309,27.62486478,0.9104223323,0.8902311407,..,..,..,..,..,..,..,..,..
Slovak Republic,SVK,2025M01,2025M01,..,..,..,..,..,..,..,..,29.11108696,..,..,125.1266973,90.81467913,149.2193919,149.3837305,..,3.85114669,160.7501674,160.026738,0.9663879698,29.11108696,..,..,..,..,..,..,2698229243,2820026246,..,..,..,..,..,14404.98064,4.96
Slovak Republic,SVK,2025M02,2025M02,..,..,..,..,..,..,..,..,28.93805,..,..,123.8404737,90.40763123,149.9589154,149.9589154,..,3.753235548,161.0850636,160.6951872,0.9604865469,28.93805,..,..,..,..,..,..,..,..,..,..,..,..,..,14393.22606,..
Slovak Republic,SVK,2025,2025,..,..,..,..,..,..,..,..,28.66086616,..,..,124.367393,91.6402752,149.5891537,149.6713229,..,2.876106195,160.9176155,160.3609626,0.9513345288,28.66086616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.96
Ukraine,UKR,2025Q1,2025Q1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2025M03,2025M03,..,..,..,..,..,..,..,..,41.47104167,..,..,81.68377917,15.90067947,..,..,..,..,..,..,41.47104167,41.47104167,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2024Q4,2024Q4,..,..,..,..,19499.1,17062.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10894.5,10081.4585,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2024Q3,2024Q3,24818.00288,..,..,..,17890.3,17496,..,..,..,1062973.226,..,..,..,..,..,..,..,..,..,..,..,..,..,9915.6,10520.73641,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2024Q2,2024Q2,25200.86839,..,..,..,17262.9,19612.9,..,..,..,1079371.636,..,..,..,..,..,..,..,..,..,..,..,..,..,10227.7,10889.42438,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2024Q1,2024Q1,24786.01626,..,..,..,16098.9,16911,..,..,..,1061603.216,..,..,..,..,..,..,..,..,..,..,..,..,..,10695.3,10346.49473,..,..,..,..,..,..,..,..,..,..,..
Ukraine,UKR,2025M01,2025M01,..,..,..,..,..,..,..,..,42.08502174,..,..,82.0060034,15.72700897,..,..,..,..,..,..,42.08502174,42.08502174,..,..,..,..,..,..,..,..,..,..,..,..,..,43009.64,..
Ukraine,UKR,2025M02,2025M02,..,..,..,..,..,..,..,..,41.6496,..,..,81.45781242,15.78506521,..,..,..,..,..,..,41.6496,41.6496,..,..,..,..,..,..,..,..,..,..,..,..,..,40145.47,..
Ukraine,UKR,2025,2025,..,..,..,..,..,..,..,..,41.73522114,..,..,81.715865,15.80425122,..,..,..,..,..,..,41.73522114,41.73522114,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Global Economic Monitor (GEM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/21/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
